county_name,state_fips,county_fips,med_home_value,med_rent,home_ownership_rate_pct
San Francisco CA,06,075,1104100,1836,36.5
Alameda CA,06,001,781000,1745,53.3
San Mateo CA,06,081,1087100,2259,59.1
Contra Costa CA,06,013,642300,1766,67.8
Los Angeles CA,06,037,588700,1402,45.6
Santa Clara CA,06,085,971300,2229,56.8
NY (Manhattan) NY,36,061,976100,1601,24.7
King WA,53,033,563600,1555,56.6
Multnomah OR,41,051,393900,1199,55.5
Kings (Brooklyn) NY,36,047,701800,1367,30.4
Cook IL,17,031,247600,1082,56.4
